experiment,replication,stim_cond,mean_z,pBayes_self,pBayes_friend,p_bias,direction,evidence
Exp1,successful,none,0.507,0.8344,0.1656,0.1656,self,moderate
Exp1,successful,equal,0.485,0.0733,0.9267,0.0733,friend,strong
