experiment,replication,stim_cond,mean_z,pBayes_self,pBayes_friend,p_bias,direction,evidence
Exp1,failed,none,0.515,0.9985,0.0015,0.0015,self,extremely strong
Exp1,failed,equal,0.528,1.0,0.0,0.0,self,extremely strong
