stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.50341797,0.50454205,0.4164945,1.2635649e-06,0.1734689,True,50.0,0.002698917
mean_ub,0.5526916,0.54172873,0.06969064,0.00012018438,0.0049769683,True,63.22164,0.15730755
std_ub,0.19812901,0.19166014,0.043967534,4.1846306e-05,0.0019749906,True,55.524647,0.14712837
10q_ub,0.36387435,0.31374374,0.08121044,0.0025130762,0.009108215,True,80.04095,0.61729246
30q_ub,0.44535512,0.43056926,0.08212686,0.00021862192,0.0069634435,True,66.77398,0.18003693
50q_ub,0.5105741,0.5360469,0.08248703,0.0006488633,0.0074529764,True,37.108116,0.3088097
70q_ub,0.5910877,0.6375429,0.08271027,0.0021580853,0.008999069,True,20.710781,0.5616618
90q_ub,0.77985376,0.7695755,0.09872185,0.000105642794,0.009851648,True,54.064953,0.10411341
mean_lb,-0.53639525,-0.51922894,0.07196731,0.00029468324,0.0054739784,True,40.30878,0.2385297
std_lb,0.20519961,0.1899311,0.04785748,0.00023312752,0.002523466,True,59.81949,0.31904134
10q_lb,0.3386076,0.29492784,0.07433226,0.0019079214,0.007433208,True,77.32954,0.58762854
30q_lb,0.42442262,0.40908206,0.0765678,0.00023533287,0.0060979617,True,62.16897,0.20035267
50q_lb,0.49117833,0.51151156,0.08228737,0.00041344087,0.0071846503,True,35.947693,0.24710044
70q_lb,0.58198464,0.6120067,0.08726365,0.0009013273,0.0085162725,True,25.90843,0.34403917
90q_lb,0.77464825,0.7434404,0.11494339,0.0009739305,0.014185911,True,59.265747,0.27150634
