,Mean,2.5q,97.5q
a(equal),1.1013528432861202,1.0653843204313411,1.1399539949168576
a(none),1.132479361763857,1.0928942605795988,1.1762475838207536
a_std,0.059637381709496354,0.03859548773099929,0.08213606347847749
a_subj(equal).29,1.1572452885999827,1.0702926512613604,1.2550682260986956
a_subj(equal).30,1.1628932716690201,1.0750471519264089,1.260787557035844
a_subj(equal).31,1.122987695881719,1.0374490363214053,1.2152760645756067
a_subj(equal).32,1.0440844464541477,0.956300138295079,1.1335731283068522
a_subj(equal).34,1.0330225189062572,0.950052317265797,1.1218965287958986
a_subj(equal).35,1.0491718533070526,0.9650489893964722,1.1350335756653367
a_subj(equal).36,1.0469059801965976,0.9628730284359249,1.1300644640591475
a_subj(equal).37,1.0838884712341537,0.9987526334463067,1.173966827828857
a_subj(equal).38,1.0777298768997243,0.9916137945774384,1.1687013508501713
a_subj(equal).39,1.0849173225497313,1.0009026959195464,1.1723640177089982
a_subj(equal).40,1.1234880626009216,1.0362683587507104,1.2194780565509973
a_subj(equal).41,1.108785494088019,1.0282679159031594,1.19248223919135
a_subj(equal).42,1.0830904454342725,1.0003816122096065,1.1730411817826294
a_subj(equal).43,1.0937962000298866,1.0127128365029492,1.1853353202169548
a_subj(equal).45,1.1360980390452404,1.0506712435085592,1.2285761366677062
a_subj(equal).46,1.2107515019374808,1.1183194229203715,1.320625434139055
a_subj(equal).47,1.114113491869805,1.0303631014040278,1.2055298979281242
a_subj(equal).48,1.111106085408157,1.028071649391936,1.2034511596106587
a_subj(equal).49,1.1279428992186489,1.0441967489885404,1.2208160611019891
a_subj(equal).50,1.0703019540890597,0.9845339052091423,1.1599452039440439
a_subj(equal).51,1.145386712332539,1.06432916112316,1.2378929361188022
a_subj(equal).52,1.0022447470944646,0.9146987331966328,1.090549732542979
a_subj(equal).53,1.0352165565013984,0.9503439421588907,1.120399007407628
a_subj(equal).54,1.0873663558464988,1.0009666247757294,1.177067112763028
a_subj(equal).56,1.1185269624350807,1.0318418866978507,1.212200476107724
a_subj(equal).57,1.1015035290646613,1.0165695804267245,1.1915409109651145
a_subj(equal).58,1.1193955228120565,1.0337099883683476,1.2121720101390365
a_subj(equal).59,1.161348397128799,1.0774396472847891,1.2562185651158642
a_subj(equal).60,1.1278281738777554,1.042694413904964,1.2223571962643565
a_subj(equal).61,1.0794055503173063,0.9970473093798837,1.1673815242132717
a_subj(equal).62,1.0904345359103802,1.0072455616397213,1.1772230915696267
a_subj(equal).63,1.100854042000881,1.0184693739001398,1.1913810963601015
a_subj(equal).64,1.0816595321263338,0.9984061758474809,1.1664316731677555
a_subj(equal).65,1.161323906070721,1.0743396611474807,1.2570997322358586
a_subj(equal).67,1.0911089329113939,1.0112129335706566,1.1768450638712038
a_subj(none).0,1.1198754307854317,1.0294360064733927,1.2142221974697975
a_subj(none).1,1.1493326874596175,1.061257972898273,1.2450365533229582
a_subj(none).2,1.171388172006029,1.082266753484516,1.272401214015421
a_subj(none).3,1.1833500302581805,1.0933993130626698,1.2827625373143716
a_subj(none).4,1.1135637993080203,1.0265241617968717,1.205189058218835
a_subj(none).5,1.0803600021771569,0.9926288649291054,1.1719400126581498
a_subj(none).6,1.087135639440264,0.9973047664761356,1.17681624838738
a_subj(none).7,1.1794791762067198,1.0873773015086776,1.2846172658469657
