,Mean,2.5q,97.5q
a(equal),1.0322154993289003,1.0043515174855138,1.0610122120084353
a(none),1.182225987447045,1.1472951035625045,1.2178998747955465
a_std,0.04378797321604621,0.023523801516276203,0.06457417427230089
a_subj(equal).29,0.9976629132670952,0.9287471326512706,1.0649448265500019
a_subj(equal).30,1.0163233270138397,0.949270804469053,1.0841487181543779
a_subj(equal).31,0.9867186839307107,0.9123222020945355,1.0560292567818927
a_subj(equal).32,1.00537225276165,0.9350596984143121,1.0747902936221712
a_subj(equal).34,1.0409559347234132,0.9715939223302381,1.1172832285608694
a_subj(equal).35,1.0253853867236455,0.958950355621824,1.0917804773227457
a_subj(equal).36,1.0435543234959856,0.9762552580735995,1.1173113041060936
a_subj(equal).37,1.0208226496733792,0.9514430604589962,1.091282710562168
a_subj(equal).38,0.9986670588289831,0.9271695789779583,1.0664054415151905
a_subj(equal).39,1.095694205071354,1.0271015276062603,1.1796654132384332
a_subj(equal).40,1.0424243222506422,0.975883037014327,1.1164987456145938
a_subj(equal).41,1.0101939244812823,0.9392123132651037,1.0791102326184594
a_subj(equal).42,1.0428340491133279,0.9758978784244989,1.1160760070567373
a_subj(equal).43,1.0306841260553148,0.9618262847723064,1.1018351147317602
a_subj(equal).45,1.0828316030009002,1.01182748097443,1.1668660160938211
a_subj(equal).46,1.0167278610514088,0.9491304373241982,1.0852260553959054
a_subj(equal).47,1.0419798431171128,0.9768475604443375,1.1132267253376182
a_subj(equal).48,1.0564575337542963,0.9901338076880134,1.1309197474726087
a_subj(equal).49,0.9621324897098146,0.8817609369161858,1.038084831176323
a_subj(equal).50,1.001357488260165,0.9336925981688006,1.0677231658291184
a_subj(equal).51,1.0407998839529853,0.9734262645939221,1.1128278380008774
a_subj(equal).52,1.04250001079456,0.9732537073319049,1.1177292935041723
a_subj(equal).53,1.0416404142847446,0.9746219314499133,1.1140310580262787
a_subj(equal).54,1.0437683245940024,0.9773926049536824,1.1181530313225327
a_subj(equal).56,1.0442386659487572,0.9757995678664599,1.1187133722816818
a_subj(equal).57,1.051543206007269,0.9857009836610052,1.1244606943618618
a_subj(equal).58,1.0288103700349627,0.961302113771731,1.0986424754884396
a_subj(equal).59,0.996760845922464,0.9218843571503115,1.067666897924176
a_subj(equal).60,1.0192204196334134,0.9473798472030986,1.0898027686325382
a_subj(equal).61,1.0136467660301292,0.944391481299995,1.0837857336213625
a_subj(equal).62,1.0441328078524044,0.9754186372362931,1.1199232347768502
a_subj(equal).63,1.064115961187995,0.9946955346982133,1.1439787935828847
a_subj(equal).64,1.041324230787962,0.9749815948717417,1.11240041339723
a_subj(equal).65,1.0834285727816575,1.0149936869932359,1.1638687264120255
a_subj(equal).67,1.0532880068729569,0.9840708234330142,1.1317027787596874
a_subj(none).0,1.1676492704223023,1.0886497930960954,1.2474716345296293
a_subj(none).1,1.177049379354918,1.0983108911082833,1.2576731016077316
