,Mean,2.5q,97.5q
v(friend_friend),-2.7618013982557943,-2.9321864505338318,-2.597001593884731
v(friend_self),2.558005026499901,2.3954342911753517,2.7112221105072423
v(self_friend),-2.578890425178178,-2.6868410900558186,-2.4684688250147526
v(self_self),2.588490230984829,2.4474821178940447,2.74853797252631
v_std,0.07955193729883536,0.010246983746444917,0.1605340660242657
v_subj(friend_friend).0,-2.732071788347993,-2.951799249494254,-2.4704096264662647
v_subj(friend_friend).1,-2.725031999620409,-2.9456078660274745,-2.461754952449488
v_subj(friend_friend).2,-2.7385310125188496,-2.96344657278844,-2.4753607257783687
v_subj(friend_friend).3,-2.7739865930025798,-3.0119936291496505,-2.5400073466114756
v_subj(friend_friend).4,-2.7447767072379143,-2.9755613170216373,-2.4916576738789993
v_subj(friend_friend).5,-2.777537199104646,-3.0142766479516556,-2.5511302279139936
v_subj(friend_friend).6,-2.766235999177885,-3.000279639063381,-2.533003097107601
v_subj(friend_friend).7,-2.781863454821863,-3.0261861335694986,-2.555919598896663
v_subj(friend_friend).8,-2.800963780244008,-3.0520375449873143,-2.5756183007490216
v_subj(friend_friend).9,-2.7561540047242796,-2.985775170953376,-2.5163500755450428
v_subj(friend_friend).10,-2.816326156042165,-3.0837152338009357,-2.590819747884212
v_subj(friend_friend).11,-2.782350322941876,-3.0197655789267053,-2.560069487542303
v_subj(friend_friend).12,-2.7327083691440888,-2.9610532474405113,-2.4758244501608773
v_subj(friend_friend).13,-2.7812854351125567,-3.019737993240909,-2.5541835198011404
v_subj(friend_friend).14,-2.747976832885347,-2.977059951786429,-2.4958009783844517
v_subj(friend_friend).15,-2.7655000675309847,-3.003432406594247,-2.5315177137872924
v_subj(friend_friend).16,-2.790739819098507,-3.0301144540978204,-2.5702259124252564
v_subj(friend_friend).17,-2.75375457045505,-2.9822621183130567,-2.515504414047122
v_subj(friend_friend).18,-2.751086375757819,-2.97826757596447,-2.502548870823292
v_subj(friend_friend).19,-2.742810455663404,-2.9664390719824367,-2.498017552203866
v_subj(friend_friend).20,-2.806547329648475,-3.065778968432719,-2.5855008132368162
v_subj(friend_friend).21,-2.7678893958167716,-3.000164953164659,-2.539491877127945
v_subj(friend_friend).22,-2.7383963956193336,-2.964145596073174,-2.4858409661846075
v_subj(friend_friend).23,-2.7556711330864507,-2.979678368908363,-2.5179486194836667
v_subj(friend_friend).24,-2.7687908202054485,-3.0088035184175026,-2.5346494300916373
v_subj(friend_friend).25,-2.7552430478503704,-2.983377990478776,-2.508235502358679
v_subj(friend_friend).26,-2.7475978331917017,-2.9740310537163865,-2.5072658741319116
v_subj(friend_friend).27,-2.7251524872738044,-2.948782645492468,-2.4605487923406666
v_subj(friend_friend).28,-2.7686107120144365,-3.008369950679074,-2.5381500230399365
v_subj(friend_friend).29,-2.7602941033205766,-2.9908313731498635,-2.521748710643892
v_subj(friend_friend).30,-2.7559080338328146,-2.98367628032384,-2.5135663591840856
v_subj(friend_friend).31,-2.76787871182831,-2.999602219918648,-2.530505265875792
v_subj(friend_self).0,2.5085951448531563,2.2982723431158094,2.7135669458830187
v_subj(friend_self).1,2.51900558106918,2.3157289848589695,2.7257230966896056
v_subj(friend_self).2,2.56608744148457,2.3690573107161206,2.799889313023492
v_subj(friend_self).3,2.576851548631893,2.3785230626973335,2.8229527373190173
v_subj(friend_self).4,2.560868042372141,2.364373151767012,2.7988057456678446
v_subj(friend_self).5,2.576355614095093,2.377505412495842,2.819740004146268
v_subj(friend_self).6,2.5694709767737054,2.373397895012704,2.814293611207329
v_subj(friend_self).7,2.505729193981823,2.294950454516062,2.7134367289392607
v_subj(friend_self).8,2.5644648303073545,2.367733018910467,2.7987037742575325
v_subj(friend_self).9,2.5868131887929477,2.384356499943571,2.839786870227163
v_subj(friend_self).10,2.608214711738542,2.3897640420616093,2.883070994259164
v_subj(friend_self).11,2.581517191915367,2.3779253016998867,2.8347789727453394
v_subj(friend_self).12,2.532861238319476,2.3384583555350753,2.748579195046689
v_subj(friend_self).13,2.5834414162198343,2.381549150887743,2.8387085124768396
v_subj(friend_self).14,2.5781810416073343,2.3756336723604585,2.828460154045627
v_subj(friend_self).15,2.506366459737948,2.2952075224807116,2.713255989939948
v_subj(friend_self).16,2.5687013038207773,2.370802925430656,2.810762700181679
v_subj(friend_self).17,2.537962833667134,2.345618703628137,2.7508764347893595
v_subj(friend_self).18,2.5703877189406836,2.3684585635660507,2.811641437663919
v_subj(friend_self).19,2.5835850743245277,2.3819868762587775,2.8358027943251196
v_subj(friend_self).20,2.548588228603418,2.356443705551127,2.7695953669668736
v_subj(friend_self).21,2.495207512460655,2.2616939794689785,2.7045407786188127
v_subj(friend_self).22,2.5566487528860224,2.364995196366171,2.7837715508649348
v_subj(friend_self).23,2.525851408428832,2.325085886848364,2.7350059348497724
v_subj(friend_self).24,2.568899823235074,2.371486827646664,2.8049009819711115
v_subj(friend_self).25,2.588156925186742,2.3854486027818083,2.8458894496409584
v_subj(friend_self).26,2.580752314295943,2.3775024452724636,2.8341984891921044
v_subj(friend_self).27,2.5883894037971533,2.3842362210054033,2.8461455852794195
v_subj(friend_self).28,2.539886475131753,2.3462350935536875,2.756689013457575
v_subj(friend_self).29,2.548707137570066,2.351206578024247,2.7717207091924667
v_subj(friend_self).30,2.552164167774922,2.3592126656002383,2.781911011232747
v_subj(friend_self).31,2.575191068484183,2.3773441477079067,2.814092945686211
v_subj(self_friend).0,-2.545933073592076,-2.716468187782599,-2.3299442037097986
v_subj(self_friend).1,-2.591594912436234,-2.7840630930166084,-2.4043968985148143
v_subj(self_friend).2,-2.6130578522597245,-2.8280472279984177,-2.4237673284859147
v_subj(self_friend).3,-2.5911649179586935,-2.7897463438903887,-2.4008105386422374
v_subj(self_friend).4,-2.5510469984839474,-2.7301371821574136,-2.3371780372697875
v_subj(self_friend).5,-2.6072883484765086,-2.807685609320959,-2.431970232172847
v_subj(self_friend).6,-2.5704871893966605,-2.751650467601657,-2.3680713729420297
v_subj(self_friend).7,-2.594296924328584,-2.7932301306997127,-2.4053305689293194
v_subj(self_friend).8,-2.5578661970804037,-2.744178729314576,-2.34891803658782
v_subj(self_friend).9,-2.5455390738425963,-2.723685615761942,-2.3109779946964277
v_subj(self_friend).10,-2.5425155677059124,-2.724212590665455,-2.321149325450146
v_subj(self_friend).11,-2.576520850595095,-2.7632474000897744,-2.380478494198438
v_subj(self_friend).12,-2.620133937107478,-2.8415778723743528,-2.4427067731058285
v_subj(self_friend).13,-2.6170201013079817,-2.835794071867463,-2.4349887764245897
v_subj(self_friend).14,-2.599932284943857,-2.8036364250150827,-2.410054201997684
v_subj(self_friend).15,-2.538797052916724,-2.716505467180177,-2.318148974223667
v_subj(self_friend).16,-2.6007967690960134,-2.8093924952780505,-2.4083672986785016
v_subj(self_friend).17,-2.5626474335834164,-2.7489503263677575,-2.3494591393049387
v_subj(self_friend).18,-2.5990531381913686,-2.7991526070089625,-2.4140019330999616
v_subj(self_friend).19,-2.582298759588864,-2.7765803283385058,-2.3854913729856086
v_subj(self_friend).20,-2.565878839455574,-2.744189834331518,-2.367110356552842
v_subj(self_friend).21,-2.6157615286775693,-2.8321001625380826,-2.4311113715857773
v_subj(self_friend).22,-2.5784247092263413,-2.757661886531045,-2.378254423936701
v_subj(self_friend).23,-2.583576327515446,-2.7799603384258487,-2.3909989714561664
v_subj(self_friend).24,-2.6220884466620635,-2.840269902028355,-2.4444236543891043
v_subj(self_friend).25,-2.533768973966999,-2.7057757758231955,-2.3071787533180332
v_subj(self_friend).26,-2.5289567457243782,-2.7042174274765407,-2.29209022484042
v_subj(self_friend).27,-2.5576266782236385,-2.7395668265912088,-2.349161376078897
v_subj(self_friend).28,-2.601255034581082,-2.8126615780241804,-2.4058529835165805
v_subj(self_friend).29,-2.5693354342054318,-2.7527290471104156,-2.3684220648019556
v_subj(self_friend).30,-2.5988917009207824,-2.8073968724475966,-2.4118327147429763
v_subj(self_friend).31,-2.575719454168776,-2.7710733362771673,-2.373314753370783
v_subj(self_self).0,2.60718248066804,2.3968265687864077,2.863004696683115
v_subj(self_self).1,2.574978837808205,2.356611614900209,2.798730631197836
v_subj(self_self).2,2.605844024529138,2.402821160956219,2.8551924169899876
v_subj(self_self).3,2.6056525253131575,2.4004422563541143,2.855303811269491
v_subj(self_self).4,2.580463874366362,2.359855417682438,2.806117049783126
v_subj(self_self).5,2.5978239638196494,2.378185851004561,2.844820400407474
v_subj(self_self).6,2.6132903497402227,2.4013557585839993,2.8736445429709034
v_subj(self_self).7,2.5760332843241236,2.355269785651805,2.809885808017373
v_subj(self_self).8,2.5819109931947812,2.3640886569159307,2.8229660486885715
v_subj(self_self).9,2.55633899201831,2.330092736894757,2.781092653292021
v_subj(self_self).10,2.627916910236639,2.4275197506413626,2.903506500488872
v_subj(self_self).11,2.567850669243399,2.3455732179603412,2.792228266251909
v_subj(self_self).12,2.559200793929992,2.333995387294305,2.784378648328506
