,Mean,2.5q,97.5q
t_subj.24,0.3624600015740662,0.35173852800518546,0.3726359311596273
t_subj.25,0.3946716394897477,0.38331786833249654,0.4045812726090507
t_subj.26,0.3299228910189975,0.3204207535110701,0.33956675628980404
t_subj.27,0.36558645100318715,0.3544296172046439,0.37679968661733837
t_subj.28,0.35565025425462127,0.3454955550179471,0.3645336625317196
t_subj.29,0.32808017674473183,0.31852480541742817,0.3367835205315948
t_subj.30,0.3549412877685194,0.3460824417835175,0.3627379145986878
t_subj.31,0.38008162855737143,0.3701067213425817,0.3894557564088077
sv,0.07306837698743937,0.0029508041479002853,0.20324216813002452
sz,0.03045953918714053,0.0011206928779858604,0.08566662800697863
st,0.2757895669281507,0.26898514011061775,0.2822561697679508
z(friend),0.5326256795127339,0.5187809643618103,0.5464578095469529
z(self),0.37464916739917636,0.3602837824460722,0.3898786827226678
z_std,0.023082667465051988,0.0007197752140360276,0.059480902874906316
z_subj(friend).0,0.5327692791731075,0.5136598674542848,0.5511363316536103
z_subj(friend).1,0.532097076740894,0.5117153269756655,0.5500880141746639
z_subj(friend).2,0.5314749318706175,0.5105965776023955,0.5494079168644743
z_subj(friend).3,0.5332116748719857,0.5143275509323059,0.5511996320618296
z_subj(friend).4,0.5318607167805158,0.5114582335018881,0.5499274799701759
z_subj(friend).5,0.5315206853922423,0.5112198451187203,0.5493746417361018
z_subj(friend).6,0.533319244790434,0.5146706812305265,0.5521885589730409
z_subj(friend).7,0.531385447224648,0.5102106782341205,0.549352887256661
z_subj(friend).8,0.532338408400027,0.5125995688261072,0.5501823485000347
z_subj(friend).9,0.5330232986532865,0.5143959302792505,0.5512300998229611
z_subj(friend).10,0.5319320624093923,0.5116892582798475,0.5496001267203241
z_subj(friend).11,0.5338098442126304,0.5154961623918396,0.5521740665094693
z_subj(friend).12,0.5329475798023268,0.5131146092022796,0.5516827944223731
z_subj(friend).13,0.5338086142077356,0.5153336181184006,0.5527265059729717
z_subj(friend).14,0.5330722621225296,0.5143981967715561,0.5514820553406978
z_subj(friend).15,0.5310448735524382,0.5101183274397867,0.5488143774763624
z_subj(friend).16,0.5319054561627605,0.5116326123577929,0.5499132839555598
z_subj(friend).17,0.534532044377126,0.5168581365327368,0.5537797896884107
z_subj(friend).18,0.5309611847059847,0.5098720562710807,0.5488358092200687
z_subj(friend).19,0.5330064893551444,0.5145589141164244,0.5514376651090838
z_subj(friend).20,0.532996983629489,0.5142656317723321,0.5512490010583151
z_subj(friend).21,0.532562266025545,0.512946029860922,0.5510148750032844
z_subj(friend).22,0.5326398960892575,0.5136323986348569,0.5510401874701882
z_subj(friend).23,0.5315630610589674,0.5103025347177547,0.5494262857194887
z_subj(friend).24,0.5329875707804608,0.5143561030319173,0.551679734263335
z_subj(friend).25,0.5328403847221747,0.5133276990879078,0.5510776849582167
z_subj(friend).26,0.5330515767011531,0.5145734771592416,0.5512775742603166
z_subj(friend).27,0.534116752005454,0.5165524915192926,0.5527499639242882
z_subj(friend).28,0.5323786337990144,0.5133457270596362,0.5501584818694911
z_subj(friend).29,0.5325494377427755,0.5131696376731536,0.55068083324784
z_subj(friend).30,0.5329014670062959,0.5139655335060161,0.5513583160180892
z_subj(friend).31,0.5338024767108001,0.5158131079576539,0.5526720687796671
z_subj(self).0,0.3755378548050674,0.35706250145234186,0.39431605134144554
z_subj(self).1,0.3759974110193002,0.3575732724344398,0.39501774551846514
z_subj(self).2,0.373963102924404,0.35466184444480975,0.3922016020211484
z_subj(self).3,0.37514970433443173,0.3561193330057387,0.393794550544404
z_subj(self).4,0.37376882779219317,0.3537735568092881,0.39187801739132516
z_subj(self).5,0.3740049648763913,0.353782216711352,0.3925872873286609
z_subj(self).6,0.3772685055486355,0.3590979623930278,0.397346672193615
z_subj(self).7,0.37427667153156774,0.35474584362731065,0.3925101395310512
z_subj(self).8,0.3761029970863854,0.3580493617311634,0.39471726666578827
z_subj(self).9,0.37145598522026985,0.34844104415034616,0.39056118475963236
z_subj(self).10,0.3746114830152733,0.35546016062174834,0.39281312239455984
z_subj(self).11,0.37675047182897464,0.35840642821222307,0.39561911853922815
z_subj(self).12,0.37223117250582377,0.34960717019442344,0.3907585749769628
z_subj(self).13,0.3787802037918228,0.3603818846236357,0.40052780075393096
z_subj(self).14,0.3754650999441251,0.3569477848347427,0.39399212004085493
z_subj(self).15,0.37353049870301386,0.35293488716432625,0.39199492953427023
z_subj(self).16,0.37480437516679144,0.35605441953216543,0.3926735899906157
z_subj(self).17,0.3723450689696452,0.351235039555119,0.39075482346357826
z_subj(self).18,0.3718072759351302,0.34976731326783744,0.3902555481946512
z_subj(self).19,0.37443493882380435,0.3550168012446672,0.3923809564682785
z_subj(self).20,0.3751559136645347,0.3561967125324692,0.3929673013467551
z_subj(self).21,0.37536243964472454,0.3568499038594024,0.39365444707642894
z_subj(self).22,0.37633411811528167,0.35798304003181736,0.39432638526924596
z_subj(self).23,0.37510701671703917,0.35609763609829914,0.3931128004324786
z_subj(self).24,0.37217232709816916,0.35035640053296047,0.3908122679443964
z_subj(self).25,0.3767456358452601,0.3585946098387227,0.3959480819515087
z_subj(self).26,0.3763637688338463,0.3583868298431899,0.39526255156777984
z_subj(self).27,0.37348727156693795,0.3524649182460553,0.3919289425223962
z_subj(self).28,0.37260602781111307,0.34988901528311284,0.39124186157046853
z_subj(self).29,0.3719819371977482,0.3499248962848759,0.39078582873693946
z_subj(self).30,0.374840106477538,0.3562821132901699,0.39285333951992374
z_subj(self).31,0.37599700682277365,0.35748452068870445,0.3943220089330076
